"name","essround","edition","proddate","idno","cntry","dweight","pspwght","pweight","anweight","prob","stratum","psu","prtvfde2","lrscale","gincdif","freehms","euftf","impcntr","imueclt","wrclmch"
"ESS10SCe03",10,"3.0","30.06.2023",10003,"DE",1.0046023,1.0262389,0.82151556,0.8430712,0.00033510322,367,5981,1,4,1,2,6,2,6,4
"ESS10SCe03",10,"3.0","30.06.2023",10004,"DE",1.0046023,0.80880386,0.82151556,0.6644449,0.00033510322,380,5996,2,4,2,2,10,2,3,4
"ESS10SCe03",10,"3.0","30.06.2023",10015,"DE",1.0046023,0.5622806,0.82151556,0.46192226,0.00033510322,361,5968,4,5,2,2,9,2,5,4
"ESS10SCe03",10,"3.0","30.06.2023",10026,"DE",1.0046023,0.62700176,0.82151556,0.5150917,0.00033510322,395,6035,4,2,5,1,10,2,10,4
"ESS10SCe03",10,"3.0","30.06.2023",10030,"DE",1.0046023,0.75504524,0.82151556,0.6202814,0.00033510322,390,6026,4,2,2,1,5,2,5,5
"ESS10SCe03",10,"3.0","30.06.2023",10035,"DE",1.0046023,1.6450754,0.82151556,1.3514551,0.00033510322,375,5997,2,5,2,1,10,2,7,3
"ESS10SCe03",10,"3.0","30.06.2023",10039,"DE",1.0046023,0.5733246,0.82151556,0.4709951,0.00033510322,431,6109,2,4,1,1,5,2,5,5
"ESS10SCe03",10,"3.0","30.06.2023",10044,"DE",1.0046023,0.84754056,0.82151556,0.6962677,0.00033510322,360,5966,4,1,1,1,5,1,9,5
"ESS10SCe03",10,"3.0","30.06.2023",10046,"DE",1.0046023,2.119684,0.82151556,1.7413534,0.00033510322,373,5992,66,5,9,2,5,2,6,3
"ESS10SCe03",10,"3.0","30.06.2023",10050,"DE",1.0046023,0.6464578,0.82151556,0.5310751,0.00033510322,350,5946,2,6,2,2,8,2,7,4
"ESS10SCe03",10,"3.0","30.06.2023",10054,"DE",1.0046023,1.1380476,0.82151556,0.93492377,0.00033510322,354,5955,4,5,3,1,8,1,8,5
"ESS10SCe03",10,"3.0","30.06.2023",10077,"DE",1.0046023,1.4102082,0.82151556,1.158508,0.00033510322,381,6006,7,0,1,1,0,2,7,6
"ESS10SCe03",10,"3.0","30.06.2023",10095,"DE",1.0046023,0.8796253,0.82151556,0.72262585,0.00033510322,352,5949,1,5,4,2,7,3,5,3
"ESS10SCe03",10,"3.0","30.06.2023",10096,"DE",1.0046023,0.8750181,0.82151556,0.71884096,0.00033510322,431,6109,4,0,1,1,10,2,5,5
"ESS10SCe03",10,"3.0","30.06.2023",10100,"DE",1.0046023,1.096538,0.82151556,0.90082294,0.00033510322,361,5967,5,6,4,1,9,3,3,3
"ESS10SCe03",10,"3.0","30.06.2023",10101,"DE",1.0046023,0.61608565,0.82151556,0.50612396,0.00033510322,413,6073,66,4,4,2,8,1,8,3
"ESS10SCe03",10,"3.0","30.06.2023",10103,"DE",1.0046023,0.72281724,0.82151556,0.5938056,0.00033510322,387,6020,4,2,2,2,8,1,8,4
"ESS10SCe03",10,"3.0","30.06.2023",10111,"DE",1.0046023,0.57770383,0.82151556,0.4745927,0.00033510322,354,5954,4,3,3,1,10,2,8,3
"ESS10SCe03",10,"3.0","30.06.2023",10114,"DE",1.0046023,0.61608565,0.82151556,0.50612396,0.00033510322,405,6057,5,5,3,1,8,2,8,3
"ESS10SCe03",10,"3.0","30.06.2023",10115,"DE",1.0046023,1.0650877,0.82151556,0.87498605,0.00033510322,434,6114,4,0,2,1,8,1,7,4
"ESS10SCe03",10,"3.0","30.06.2023",10117,"DE",1.0046023,1.7016476,0.82151556,1.39793,0.00033510322,362,5970,66,4,2,1,8,2,10,4
"ESS10SCe03",10,"3.0","30.06.2023",10118,"DE",1.0046023,1.1128476,0.82151556,0.9142216,0.00033510322,363,5972,7,8,1,1,5,3,3,3
"ESS10SCe03",10,"3.0","30.06.2023",10124,"DE",1.0130444,0.52262235,0.82151556,0.4293424,0.0003323107,396,6037,1,5,3,1,2,2,2,4
"ESS10SCe03",10,"3.0","30.06.2023",10126,"DE",1.0046023,0.59646153,0.82151556,0.49000242,0.00033510322,408,6062,5,5,2,1,8,2,7,3
"ESS10SCe03",10,"3.0","30.06.2023",10127,"DE",1.0046023,1.2260245,0.82151556,1.0071982,0.00033510322,374,5994,5,7,1,2,3,3,3,3
"ESS10SCe03",10,"3.0","30.06.2023",10140,"DE",1.0046023,1.2519556,0.82151556,1.028501,0.00033510322,375,5997,2,5,2,1,5,2,3,2
"ESS10SCe03",10,"3.0","30.06.2023",10145,"DE",1.0046023,0.9459085,0.82151556,0.7770785,0.00033510322,369,5974,99,6,2,5,0,3,99,3
"ESS10SCe03",10,"3.0","30.06.2023",10161,"DE",1.0046023,2.533929,0.82151556,2.0816622,0.00033510322,363,5971,4,5,2,1,99,2,99,4
"ESS10SCe03",10,"3.0","30.06.2023",10163,"DE",1.0046023,1.0878438,0.82151556,0.8936806,0.00033510322,421,6088,2,0,2,2,99,3,10,4
"ESS10SCe03",10,"3.0","30.06.2023",10168,"DE",1.0046023,1.175001,0.82151556,0.9652816,0.00033510322,415,6074,66,3,2,2,6,2,5,3
"ESS10SCe03",10,"3.0","30.06.2023",10179,"DE",1.0046023,0.5749455,0.82151556,0.47232667,0.00033510322,365,5977,5,7,3,1,2,3,3,3
"ESS10SCe03",10,"3.0","30.06.2023",10185,"DE",1.0046023,0.9506078,0.82151556,0.78093904,0.00033510322,376,5998,99,5,1,2,1,3,5,4
"ESS10SCe03",10,"3.0","30.06.2023",10189,"DE",1.0046023,0.72281724,0.82151556,0.5938056,0.00033510322,388,6023,3,2,1,1,5,2,8,5
"ESS10SCe03",10,"3.0","30.06.2023",10192,"DE",1.0046023,1.1549749,0.82151556,0.9488299,0.00033510322,353,5951,99,5,5,2,7,3,5,4
"ESS10SCe03",10,"3.0","30.06.2023",10196,"DE",1.0046023,0.80880386,0.82151556,0.6644449,0.00033510322,369,5974,3,2,1,2,7,2,6,4
